source_address;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
129.226.211.185;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62.16.16.3;41;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188.163.101.164;46;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78.26.151.211;94;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0
154.204.30.134;37;41;36;36;31;35;30;37;31;35;30;35;31;36;34;31;30;34;36;42;38;42;37;41
104.248.146.84;47;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211.197.205.91;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;25;0;0
103.181.142.170;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0
160.86.98.213;52;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
140.238.15.74;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61.177.172.104;18;11;16;13;23;22;16;12;10;16;17;16;15;11;18;14;12;10;11;13;13;19;14;10
92.211.124.85;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
193.149.187.152;84;75;78;74;73;93;21;30;39;57;63;78;81;96;87;87;93;72;18;24;39;39;60;54
193.111.10.105;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62.16.10.1;26;28;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;40;10;0;0
144.217.139.20;50;50;44;46;47;42;45;46;45;51;49;48;49;49;46;46;49;42;43;48;41;41;44;42
109.200.236.221;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78.47.131.69;102;143;152;239;59;105;96;63;73;53;106;91;48;50;98;63;54;83;92;55;142;100;176;80
85.209.40.176;12;4;8;0;16;11;12;8;11;4;4;4;12;8;12;8;12;20;8;12;4;4;12;4
147.182.185.145;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51.89.166.204;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159.223.112.73;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128.199.45.37;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
200.159.243.141;38;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116.202.2.119;21;51;10;7;45;39;16;68;52;55;57;15;27;9;36;23;27;14;6;18;23;101;31;29
164.92.136.3;5;3;8;4;5;3;6;3;8;5;4;7;5;4;6;7;5;3;4;3;3;4;4;5
213.231.37.74;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.252.242.140;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178.47.35.245;50;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
61.177.173.47;13;15;9;12;14;10;12;17;18;12;15;9;18;13;13;13;7;14;14;10;12;14;12;12
178.154.225.109;3;0;0;0;11;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
209.141.34.86;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103.129.108.14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
36.95.55.131;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185.170.144.3;2;6;2;6;0;2;0;0;0;0;0;0;0;0;2;0;0;0;4;5;6;4;8;6
194.54.160.182;1;0;0;0;0;0;6;0;0;0;0;0;1;10;1;10;0;0;0;0;0;0;0;0
165.22.90.169;7;8;9;6;6;8;8;6;7;6;5;9;8;10;7;9;7;7;8;8;8;6;8;4
20.122.159.197;4;5;4;4;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78.26.198.4;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61.177.173.53;17;23;15;14;16;21;25;16;22;19;12;24;21;11;24;24;12;23;11;17;21;20;8;17
67.141.142.218;274;302;278;328;277;277;301;251;324;260;289;297;301;322;316;296;290;222;228;222;279;324;277;287
185.19.6.24;15;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37.73.12.30;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79.140.0.123;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63.32.106.236;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68.168.141.140;21;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54.194.118.43;14;13;8;5;3;3;3;2;1;2;1;1;1;1;2;0;0;0;0;0;0;0;0;0
188.166.55.16;24;21;12;22;14;24;22;14;20;16;24;19;17;17;19;23;17;19;16;20;23;15;18;11
203.142.32.154;17;20;21;12;8;20;23;14;0;24;13;16;17;5;8;12;16;4;10;12;23;12;25;8
51.15.16.160;16;24;30;35;20;34;15;10;30;35;30;35;25;25;45;10;20;20;30;10;35;25;40;20
122.154.163.211;24;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78.198.218.157;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;6;0;24;43;48;2;2;0
46.164.145.190;76;16;18;0;0;0;0;0;0;0;0;0;2;1;31;15;0;0;17;0;6;0;2;30
195.154.39.160;60;56;52;60;52;57;61;53;72;60;56;57;60;64;72;68;68;52;52;60;56;52;56;56
5.188.143.79;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0
61.177.173.36;22;17;9;21;21;18;21;15;22;25;18;10;21;25;16;18;9;17;13;11;15;16;15;21
