analyzer_id,source_port,source_protocol,target_port,target_protocol,Cluster
2,57427,4,445,4,0
2,55669,4,445,4,0
2,64482,4,445,4,0
5,62484,4,3389,4,0
2,50860,4,445,4,0
1,1024,4,2222,4,1
1,38008,4,2222,4,1
2,36334,4,80,4,1
2,57322,4,445,4,0
5,58436,4,3389,4,0
2,50939,4,445,4,0
2,56104,4,80,4,0
2,54326,4,80,4,0
5,57777,4,3389,4,0
2,57232,4,445,4,0
2,13551,4,445,4,1
2,55058,4,445,4,0
2,47656,6,1900,6,0
2,63134,4,445,4,0
5,36308,4,3389,4,1
5,62961,4,3389,4,0
1,54005,4,2222,4,0
2,50496,4,80,4,0
2,60151,4,445,4,0
1,45959,4,2222,4,0
2,57149,4,445,4,0
2,55080,4,445,4,0
2,65237,4,445,4,0
2,54082,4,80,4,0
2,52846,4,445,4,0
5,62334,4,3389,4,0
2,35308,4,80,4,1
2,48498,4,80,4,0
2,55848,4,445,4,0
2,53022,4,445,4,0
2,59719,4,445,4,0
2,9876,4,445,4,1
2,38794,4,80,4,1
2,49563,4,445,4,0
2,61969,4,80,4,0
2,59853,4,445,4,0
2,52141,4,445,4,0
2,57826,4,80,4,0
2,55108,4,445,4,0
2,63057,4,445,4,0
2,59625,4,445,4,0
2,56852,4,445,4,0
2,64428,4,445,4,0
2,60938,4,445,4,0
5,56245,4,3389,4,0
2,64755,4,445,4,0
2,49665,4,445,4,0
2,49388,4,80,4,0
2,57701,4,445,4,0
2,61750,4,445,4,0
2,59585,4,80,4,0
2,60424,4,445,4,0
2,23962,4,80,4,1
1,56602,4,2222,4,0
2,51778,4,445,4,0
2,56519,4,80,4,0
5,51761,4,3389,4,0
2,40284,4,445,4,1
5,59839,4,3389,4,0
2,64855,4,445,4,0
1,50078,4,2222,4,0
2,56601,4,445,4,0
2,49758,4,80,4,0
2,57949,4,445,4,0
5,59343,4,3389,4,0
2,62065,4,445,4,0
1,54548,4,2222,4,0
2,60608,4,445,4,0
2,50372,4,445,4,0
2,57108,4,445,4,0
2,37672,4,80,4,1
2,33932,4,80,4,1
2,64755,4,445,4,0
5,18385,4,3389,4,1
2,39348,4,80,4,1
2,39077,4,445,4,1
2,49624,4,445,4,0
5,51033,4,3389,4,0
2,52421,4,445,4,0
1,51418,4,2222,4,0
2,55120,4,445,4,0
2,65106,4,445,4,0
2,63607,4,445,4,0
2,53627,4,445,4,0
2,64979,4,80,4,0
2,65468,4,445,4,0
1,58154,4,2222,4,0
2,34554,4,80,4,1
2,55480,4,445,4,0
2,60808,4,445,4,0
2,50568,4,80,4,0
5,62012,4,3389,4,0
2,56216,4,445,4,0
2,42764,4,80,4,1
2,57453,4,445,4,0
5,62766,4,3389,4,0
2,59682,4,80,4,0
2,64708,4,445,4,0
2,33388,4,80,4,1
1,53360,4,2222,4,0
2,8579,4,445,4,1
2,62143,4,445,4,0
5,53416,4,3389,4,0
2,54542,4,445,4,0
2,49303,4,445,4,0
2,34808,4,80,4,1
2,51800,4,445,4,0
